in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,62.035,-182,291,-182,291,156.01,62.035,156.01,62.035,-182,291,-182,291,156.01,62.035,156.01
SOFA,-98,-50,98,-50,98,50,-98,50,83.49615478515625,-181.99000549316406,279.49615478515625,-181.99000549316406,279.49615478515625,-81.99000549316406,83.49615478515625,-81.99000549316406
STORAGE_FURNITURE,-39.5,-19.7,39.5,-19.7,39.5,19.7,-39.5,19.7,264.0766143798828,155.99998779296874,185.0766143798828,155.99998779296874,185.0766143798828,116.59998779296875,264.0766143798828,116.59998779296876
TABLE,-25,-75,25,-75,25,75,-25,75,102.01487731933594,32.111185550689676,102.01487731933594,-17.888814449310324,252.01487731933594,-17.88881444931028,252.01487731933594,32.11118555068972
DECORATION,-54.05,-8.7,54.05,-8.7,54.05,8.7,-54.05,8.7,290.866567962057,-67.04000019073492,290.866567962057,41.05999980926508,273.466567962057,41.05999980926508,273.466567962057,-67.04000019073492
DECORATION,-54.05,-8.7,54.05,-8.7,54.05,8.7,-54.05,8.7,126.48196868896484,156.00000305175783,18.381968688964847,156.0000030517578,18.381968688964847,138.6000030517578,126.48196868896484,138.60000305175782
LIGHTING,-10,-14,10,-14,10,14,-10,14,97.52408599853516,-181.989990234375,117.52408599853516,-181.989990234375,117.52408599853516,-153.989990234375,97.52408599853516,-153.989990234375
LIGHTING,-10,-14,10,-14,10,14,-10,14,246.7750244140625,-181.989990234375,266.7750244140625,-181.989990234375,266.7750244140625,-153.989990234375,246.7750244140625,-153.989990234375
DECORATION,-54.45,-1,54.45,-1,54.45,1,-54.45,1,124.1792724609375,-181.99000549316406,233.0792724609375,-181.99000549316406,233.0792724609375,-179.99000549316406,124.1792724609375,-179.99000549316406
LIGHTING,-51.35,-51.35,51.35,-51.35,51.35,51.35,-51.35,51.35,117.03059997558594,-46.503380393981935,219.73059997558593,-46.503380393981935,219.73059997558593,56.19661960601807,117.03059997558594,56.19661960601807
