in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,40.78312,129.64335,902.99269,129.64335,902.99269,527.92418,40.78312,527.92418,40.78312,129.64335,902.99269,129.64335,902.99269,527.92418,40.78312,527.92418
TABLE,-50.2,-27.55,50.2,-27.55,50.2,27.55,-50.2,27.55,748.4806848877814,244.64096402226306,835.5281718791332,294.6699057309424,808.0720494872186,342.4419827550807,721.0245624958668,292.41304104640136
SOFA,-146,-76.8,146,-76.8,146,76.8,-146,76.8,768.7922600636114,503.78912621918187,521.5013467204803,348.5112972225088,603.1817389598261,218.42950171050563,850.4726523029572,373.7073307071787
