in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-745.32966,-507.94812,475.40858,-507.94812,475.40858,716.33612,-745.32966,716.33612,-745.32966,-507.94812,475.40858,-507.94812,475.40858,716.33612,-745.32966,716.33612
SOFA,-121.65,-78.15,121.65,-78.15,121.65,78.15,-121.65,78.15,91.88256683349614,-507.9381164550781,91.88256683349606,-264.6381164550781,-64.41743316650395,-264.63811645507815,-64.41743316650387,-507.93811645507816
TABLE,-58.25,-56.95,58.25,-56.95,58.25,56.95,-58.25,56.95,-371.58428955078125,-45.44020767211914,-255.08428955078125,-45.44020767211914,-255.08428955078125,68.45979232788086,-371.58428955078125,68.45979232788086
STORAGE_FURNITURE,-75,-22.55,75,-22.55,75,22.55,-75,22.55,475.39857177734376,-355.3833923339844,475.3985717773437,-205.38339233398438,430.29857177734374,-205.38339233398438,430.2985717773438,-355.3833923339844
STORAGE_FURNITURE,-81,-25,81,-25,81,25,-81,25,-472.93353271484375,137.42992401123047,-634.9335327148438,137.42992401123047,-634.9335327148438,87.42992401123045,-472.93353271484375,87.42992401123048
STORAGE_FURNITURE,-73.5,-20.75,73.5,-20.75,73.5,20.75,-73.5,20.75,-745.3296508789062,137.429931640625,-745.3296508789062,-9.570068359374986,-703.8296508789062,-9.570068359375014,-703.8296508789062,137.429931640625
STORAGE_FURNITURE,-31.75,-9,31.75,-9,31.75,9,-31.75,9,-745.3272705078125,-194.91380310058594,-681.8272705078125,-194.91380310058594,-681.8272705078125,-176.91380310058594,-745.3272705078125,-176.91380310058594
SEATING,-27,-24,27,-24,27,24,-27,24,-334.0484313964844,-102.34745788574219,-280.0484313964844,-102.34745788574219,-280.0484313964844,-54.34745788574219,-334.0484313964844,-54.34745788574219
SEATING,-27,-24,27,-24,27,24,-27,24,-455.2770690917969,22.541081428527825,-455.2770690917969,-31.458918571472175,-407.2770690917969,-31.45891857147216,-407.2770690917969,22.54108142852784
SEATING,-27,-24,27,-24,27,24,-27,24,-314.4801940917969,119.46680450439453,-368.4801940917969,119.46680450439453,-368.4801940917969,71.46680450439453,-314.4801940917969,71.46680450439453
SEATING,-27,-24,27,-24,27,24,-27,24,-207.07427978515625,-14.018666267395027,-207.07427978515625,39.98133373260497,-255.07427978515625,39.98133373260499,-255.07427978515625,-14.018666267395012
