in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-514.70482,-431.3571,515.29518,-431.3571,515.29518,213.84588,-514.70482,213.84588,-514.70482,-431.3571,515.29518,-431.3571,515.29518,213.84588,-514.70482,213.84588
SOFA,-121.65,-78.15,121.65,-78.15,121.65,78.15,-121.65,78.15,-194.4746643066406,-347.2995208740234,-194.47466430664065,-103.9995208740234,-350.77466430664066,-103.99952087402346,-350.7746643066406,-347.2995208740235
STORAGE_FURNITURE,-90,-22.5,90,-22.5,90,22.5,-90,22.5,-514.69482421875,-168.95388793945312,-514.69482421875,-348.9538879394531,-469.69482421875006,-348.9538879394531,-469.69482421874994,-168.95388793945312
STORAGE_FURNITURE,-69.6,-23.9,69.6,-23.9,69.6,23.9,-69.6,23.9,-514.6948303222656,-234.92484130859373,-514.6948303222656,-374.1248413085937,-466.89483032226565,-374.1248413085938,-466.8948303222656,-234.92484130859378
STORAGE_FURNITURE,-69.6,-23.9,69.6,-23.9,69.6,23.9,-69.6,23.9,-514.6947998046875,-144.38788452148435,-514.6947998046875,-283.58788452148434,-466.8947998046875,-283.5878845214844,-466.89479980468747,-144.3878845214844
