in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-205.13041,-88.36329,178.97265,-88.36329,178.97265,875.92599,-205.13041,875.92599,-205.13041,-88.36329,178.97265,-88.36329,178.97265,875.92599,-205.13041,875.92599
SOFA,-121.25,-79.45,121.25,-79.45,121.25,79.45,-121.25,79.45,175.23540802001952,510.36639404296875,175.23540802001958,752.8663940429688,16.335408020019557,752.8663940429688,16.3354080200195,510.36639404296875
TABLE,-129.8,-44.75,129.8,-44.75,129.8,44.75,-129.8,44.75,11.77722549438473,38.325946044921864,11.777225494384801,297.9259460449219,-77.7227745056152,297.9259460449219,-77.72277450561526,38.325946044921864
STORAGE_FURNITURE,-35.15,-20.45,35.15,-20.45,35.15,20.45,-35.15,20.45,-205.12041015625,99.85494842529297,-205.12041015625002,29.554948425292977,-164.22041015625,29.554948425292963,-164.22041015624998,99.85494842529296
STORAGE_FURNITURE,-35.15,-20.45,35.15,-20.45,35.15,20.45,-35.15,20.45,-205.12041015624996,170.154948425293,-205.12041015625,99.85494842529299,-164.22041015624998,99.85494842529297,-164.22041015624995,170.15494842529296
SEATING,-47,-27.2,47,-27.2,47,27.2,-47,27.2,-111.26020355224607,188.39895629882812,-111.26020355224613,94.39895629882814,-56.86020355224612,94.39895629882811,-56.86020355224606,188.39895629882812
SEATING,-47,-27.2,47,-27.2,47,27.2,-47,27.2,-110.89419097900388,139.37261962890625,-110.89419097900394,45.372619628906264,-56.49419097900393,45.372619628906236,-56.494190979003875,139.37261962890625
SEATING,-47,-27.2,47,-27.2,47,27.2,-47,27.2,-111.62621612548826,282.42529296875,-111.62621612548831,188.42529296875,-57.22621612548831,188.42529296875,-57.22621612548825,282.42529296875
SEATING,-47,-27.2,47,-27.2,47,27.2,-47,27.2,-111.26020355224607,233.39895629882812,-111.26020355224613,139.39895629882812,-56.86020355224612,139.39895629882812,-56.86020355224606,233.39895629882812
SEATING,-47,-27.2,47,-27.2,47,27.2,-47,27.2,38.36202163696292,139.39895629882812,38.362021636962865,233.39895629882812,-16.037978363037137,233.39895629882812,-16.03797836303708,139.39895629882812
SEATING,-47,-27.2,47,-27.2,47,27.2,-47,27.2,37.99603958129886,188.42527770996094,37.9960395812988,282.42527770996094,-16.4039604187012,282.42527770996094,-16.403960418701143,188.42527770996094
SEATING,-47,-27.2,47,-27.2,47,27.2,-47,27.2,38.36202163696288,45.36266326904296,38.36202163696291,139.36266326904297,-16.037978363037094,139.36266326904297,-16.037978363037123,45.362663269042976
SEATING,-47,-27.2,47,-27.2,47,27.2,-47,27.2,37.99597854614257,94.38896179199219,37.995978546142595,188.3889617919922,-16.404021453857407,188.3889617919922,-16.404021453857435,94.38896179199219
STORAGE_FURNITURE,-80,-18.25,80,-18.25,80,18.25,-80,18.25,-205.12040710449213,758.6260375976562,-205.12040710449224,598.6260375976562,-168.62040710449224,598.6260375976562,-168.62040710449213,758.6260375976562
SEATING,-53.5,-20,53.5,-20,53.5,20,-53.5,20,-205.12040710449216,581.5840454101562,-205.12040710449222,474.58404541015625,-165.12040710449222,474.58404541015625,-165.12040710449216,581.5840454101562
SEATING,-47.75,-34.5,47.75,-34.5,47.75,34.5,-47.75,34.5,-127.08293128717071,875.915973320361,-204.35385058778587,819.7959677034883,-163.80641197454804,763.9667171093265,-86.53549267393288,820.0867227261992
RADIATOR,-61.05,-7.5,61.05,-7.5,61.05,7.5,-61.05,7.5,38.135840225219724,875.916015625,-83.96415977478027,875.916015625,-83.96415977478027,860.916015625,38.135840225219724,860.916015625
SEATING,-47.75,-34.5,47.75,-34.5,47.75,34.5,-47.75,34.5,162.11096485871798,816.6049234384801,87.2614620250104,875.915984173783,44.40844432096951,821.8362386708949,119.2579471546771,762.525177935592
