in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,10.33,247.53,795.64,247.53,795.64,792.752,10.33,792.752,10.33,247.53,795.64,247.53,795.64,792.752,10.33,792.752
SOFA,-121.65,-78.15,121.65,-78.15,121.65,78.15,-121.65,78.15,552.3360229492188,337.5091796875,795.6360229492187,337.5091796875,795.6360229492187,493.8091796875,552.3360229492188,493.8091796875
SEATING,-28.75,-28.3,28.75,-28.3,28.75,28.3,-28.75,28.3,693.030029296875,529.5599853515625,750.530029296875,529.5599853515625,750.530029296875,586.1599853515625,693.030029296875,586.1599853515625
STORAGE_FURNITURE,-90.3,-22.55,90.3,-22.55,90.3,22.55,-90.3,22.55,584.2900268554688,747.6419555664063,764.8900268554687,747.6419555664063,764.8900268554687,792.7419555664062,584.2900268554688,792.7419555664062
TABLE,-60,-60,60,-60,60,60,-60,60,432.3260192871094,454.09002685546875,552.3260192871094,454.09002685546875,552.3260192871094,574.0900268554688,432.3260192871094,574.0900268554688
SEATING,-24.15,-28.45,24.15,-28.45,24.15,28.45,-24.15,28.45,375.41599731445314,532.1900085449219,375.41599731445314,483.8900085449219,432.3159973144531,483.8900085449219,432.3159973144531,532.1900085449219
SEATING,-24.15,-28.45,24.15,-28.45,24.15,28.45,-24.15,28.45,615.28056640625,493.8191772460938,615.28056640625,542.1191772460937,558.38056640625,542.1191772460937,558.38056640625,493.8191772460938
SEATING,-24.15,-28.45,24.15,-28.45,24.15,28.45,-24.15,28.45,509.3405822753906,626.7,461.04058227539065,626.7,461.04058227539065,569.8,509.3405822753906,569.8
SEATING,-24.15,-28.45,24.15,-28.45,24.15,28.45,-24.15,28.45,465.8805786132813,397.18003540039064,514.1805786132812,397.18003540039064,514.1805786132812,454.0800354003906,465.8805786132813,454.0800354003906
