in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-222,-248,374,-248,374,282.444,-222,282.444,-222,-248,374,-248,374,282.444,-222,282.444
STORAGE_FURNITURE,-60,-26.5,60,-26.5,60,26.5,-60,26.5,-8.031429548504946,-82.23048021193938,-97.01432493511457,-1.7193360850814656,-132.5734135911435,-41.02011488083406,-43.590518204533865,-121.53125900769197
SEATING,-33.2,-30.8,33.2,-30.8,33.2,30.8,-33.2,30.8,-182.09258887475534,-102.43201702061685,-141.3015305665019,-154.82523759439596,-92.69577172094779,-116.98293048914877,-133.48683002920123,-64.58970991536968
STORAGE_FURNITURE,-70.1,-15.4,70.1,-15.4,70.1,15.4,-70.1,15.4,-132.79321060180663,-247.98999633789063,7.406789398193354,-247.98999633789063,7.406789398193354,-217.18999633789062,-132.79321060180663,-217.18999633789062
SOFA,-91,-45,91,-45,91,45,-91,45,373.989990234375,66.69648742675783,373.989990234375,248.6964874267578,283.989990234375,248.6964874267578,283.989990234375,66.6964874267578
SEATING,-33.2,-30.8,33.2,-30.8,33.2,30.8,-33.2,30.8,93.80264427954154,31.24999744471518,134.59370258779498,-21.143223129063912,183.1994614333491,16.699083976183257,142.40840312509565,69.09230454996235
DECORATION,-75,-75,75,-75,75,75,-75,75,-170.10149383544922,-167.83875274658203,-20.10149383544922,-167.83875274658203,-20.10149383544922,-17.83875274658203,-170.10149383544922,-17.83875274658203
TABLE,-45,-27.5,45,-27.5,45,27.5,-45,27.5,138.43488705886674,158.02611881138745,195.78932337343397,88.66857679151589,238.17448794113326,123.71851009486255,180.82005162656603,193.07605211473413
