in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-1765.37181,-5859.72729,-1389.37181,-5859.72729,-1389.37181,-5388.72729,-1765.37181,-5388.72729,-1765.37181,-5859.72729,-1389.37181,-5859.72729,-1389.37181,-5388.72729,-1765.37181,-5388.72729
DECORATION,-20,-1.1,20,-1.1,20,1.1,-20,1.1,-1664.2873488447233,-5859.717056771586,-1624.2873488447233,-5859.717056771586,-1624.2873488447233,-5857.517056771585,-1664.2873488447233,-5857.517056771585
DECORATION,-16.4,0,16.4,0,16.4,0,-16.4,0,-1660.687353515625,-5859.51708984375,-1627.887353515625,-5859.51708984375,-1627.887353515625,-5859.51708984375,-1660.687353515625,-5859.51708984375
DECORATION,-33.6,-1.1,33.6,-1.1,33.6,1.1,-33.6,1.1,-1742.8082556846841,-5859.717392091944,-1675.6082556846843,-5859.717392091944,-1675.6082556846843,-5857.517392091943,-1742.8082556846841,-5857.517392091943
DECORATION,-30,0,30,0,30,0,-30,0,-1739.208251953125,-5859.51708984375,-1679.208251953125,-5859.51708984375,-1679.208251953125,-5859.51708984375,-1739.208251953125,-5859.51708984375
DECORATION,-28.6,-1.1,28.6,-1.1,28.6,1.1,-28.6,1.1,-1598.4155517578124,-5859.7171875,-1541.2155517578126,-5859.7171875,-1541.2155517578126,-5857.5171875,-1598.4155517578124,-5857.5171875
DECORATION,-25,0,25,0,25,0,-25,0,-1594.8155517578125,-5859.51708984375,-1544.8155517578125,-5859.51708984375,-1544.8155517578125,-5859.51708984375,-1594.8155517578125,-5859.51708984375
LIGHTING,-3.1,-18.6,3.1,-18.6,3.1,18.6,-3.1,18.6,-1602.3347412109374,-5857.5072265625,-1596.1347412109376,-5857.5072265625,-1596.1347412109376,-5820.3072265625,-1602.3347412109374,-5820.3072265625
DECORATION,-27.2,-0.7,27.2,-0.7,27.2,0.7,-27.2,0.7,-1668.1481831849883,-5859.716957018125,-1613.7481831849882,-5859.716957018125,-1613.7481831849882,-5858.316957018125,-1668.1481831849883,-5858.316957018125
DECORATION,-20.2,0,20.2,0,20.2,0,-20.2,0,-1661.1482421875,-5859.51708984375,-1620.7482421875,-5859.51708984375,-1620.7482421875,-5859.51708984375,-1661.1482421875,-5859.51708984375
DECORATION,-38,-2,38,-2,38,2,-38,2,-1596.124755859375,-5859.71728515625,-1520.124755859375,-5859.71728515625,-1520.124755859375,-5855.71728515625,-1596.124755859375,-5855.71728515625
DECORATION,-80,-115,80,-115,80,115,-80,115,-1657.7630615234375,-5737.095703125,-1497.7630615234375,-5737.095703125,-1497.7630615234375,-5507.095703125,-1657.7630615234375,-5507.095703125
RADIATOR,-40,-7.5,40,-7.5,40,7.5,-40,7.5,-1496.6661376953125,-5403.201171875,-1416.6661376953125,-5403.201171875,-1416.6661376953125,-5388.201171875,-1496.6661376953125,-5388.201171875
STORAGE_FURNITURE,-90,-22.45,90,-22.45,90,22.45,-90,22.45,-1765.4923583984375,-5552.009765625,-1765.4923583984375,-5732.009765625,-1720.5923583984375,-5732.009765625,-1720.5923583984375,-5552.009765625
STORAGE_FURNITURE,-39.05,-23,39.05,-23,39.05,23,-39.05,23,-1391.182373046875,-5503.44306640625,-1391.182373046875,-5425.34306640625,-1437.182373046875,-5425.34306640625,-1437.182373046875,-5503.44306640625
TABLE,-63,-31.05,63,-31.05,63,31.05,-63,31.05,-1764.854931640625,-5398.09326171875,-1764.854931640625,-5524.09326171875,-1702.754931640625,-5524.09326171875,-1702.754931640625,-5398.09326171875
TABLE,-60,-60,60,-60,60,60,-60,60,-1656.90283203125,-5857.50732421875,-1536.90283203125,-5857.50732421875,-1536.90283203125,-5737.50732421875,-1656.90283203125,-5737.50732421875
TABLE,-44.95,-44.95,44.95,-44.95,44.95,44.95,-44.95,44.95,-1594.6757080078125,-5670.3181640625,-1504.7757080078125,-5670.3181640625,-1504.7757080078125,-5580.4181640625,-1594.6757080078125,-5580.4181640625
