in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-504.09293,-97.19737,496.91751,-97.19737,496.91751,763.75867,-504.09293,763.75867,-504.09293,-97.19737,496.91751,-97.19737,496.91751,763.75867,-504.09293,763.75867
TABLE,-90,-45,90,-45,90,45,-90,45,-180.29418945312503,451.80694580078125,-180.29418945312497,631.8069458007812,-270.294189453125,631.8069458007812,-270.294189453125,451.80694580078125
SOFA,-109.85,-92.25,109.85,-92.25,109.85,92.25,-109.85,92.25,255.02465820312497,694.9663940429687,255.02465820312503,475.2663940429687,439.524658203125,475.2663940429688,439.524658203125,694.9663940429688
SEATING,-20.55,-25,20.55,-25,20.55,25,-20.55,25,-321.2804870605469,620.9315307617187,-321.2804870605469,579.8315307617188,-271.2804870605469,579.8315307617188,-271.2804870605469,620.9315307617187
SEATING,-20.55,-25,20.55,-25,20.55,25,-20.55,25,-244.93650512695314,378.7906494140625,-203.8365051269531,378.7906494140625,-203.8365051269531,428.7906494140625,-244.93650512695314,428.7906494140625
SEATING,-20.55,-25,20.55,-25,20.55,25,-20.55,25,-321.2804870605469,555.3935668945312,-321.2804870605469,514.2935668945313,-271.2804870605469,514.2935668945313,-271.2804870605469,555.3935668945312
SEATING,-20.55,-25,20.55,-25,20.55,25,-20.55,25,-321.2804870605469,491.451123046875,-321.2804870605469,450.351123046875,-271.2804870605469,450.351123046875,-271.2804870605469,491.451123046875
SEATING,-33.95,-38.2,33.95,-38.2,33.95,38.2,-33.95,38.2,-28.19754095077515,474.679638671875,39.702459049224856,474.679638671875,39.702459049224856,551.079638671875,-28.19754095077515,551.079638671875
SEATING,-33.95,-38.2,33.95,-38.2,33.95,38.2,-33.95,38.2,79.43912200927734,474.679638671875,147.33912200927733,474.679638671875,147.33912200927733,551.079638671875,79.43912200927734,551.079638671875
SEATING,-32.25,-21,32.25,-21,32.25,21,-32.25,21,-26.49754047393799,596.1883544921875,38.00245952606201,596.1883544921875,38.00245952606201,638.1883544921875,-26.49754047393799,638.1883544921875
SEATING,-31.7,-88.6,31.7,-88.6,31.7,88.6,-31.7,88.6,165.28513793945314,474.6796020507812,228.6851379394531,474.6796020507812,228.6851379394531,651.8796020507813,165.28513793945314,651.8796020507813
DECORATION,-145,-100,145,-100,145,100,-145,100,-57.290679931640625,524.69281,232.70932006835938,524.69281,232.70932006835938,724.69281,-57.290679931640625,724.69281
DECORATION,-145,-100,145,-100,145,100,-145,100,468.6262817382812,440.75189208984375,468.6262817382813,730.7518920898438,268.6262817382813,730.7518920898438,268.6262817382812,440.75189208984375
SEATING,-20.55,-25,20.55,-25,20.55,25,-20.55,25,-207.586962890625,701.8169555664062,-248.686962890625,701.8169555664062,-248.686962890625,651.8169555664062,-207.586962890625,651.8169555664062
SEATING,-20.55,-25,20.55,-25,20.55,25,-20.55,25,-127.2210693359375,451.38417358398436,-127.2210693359375,492.4841735839844,-177.2210693359375,492.4841735839844,-177.2210693359375,451.38417358398436
SEATING,-20.55,-25,20.55,-25,20.55,25,-20.55,25,-127.2210693359375,515.5327026367188,-127.2210693359375,556.6327026367187,-177.2210693359375,556.6327026367187,-177.2210693359375,515.5327026367188
SEATING,-20.55,-25,20.55,-25,20.55,25,-20.55,25,-127.2210693359375,581.6854736328125,-127.2210693359375,622.7854736328125,-177.2210693359375,622.7854736328125,-177.2210693359375,581.6854736328125
