in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,5849.71386,4685.24496,6449.7222,4685.24496,6449.7222,5846.00932,5849.71386,5846.00932,5849.71386,4685.24496,6449.7222,4685.24496,6449.7222,5846.00932,5849.71386,5846.00932
TABLE,-90,-40,90,-40,90,40,-90,40,6349.4697265625,5259.4990234375,6169.4697265625,5259.4990234375,6169.4697265625,5179.4990234375,6349.4697265625,5179.4990234375
SEATING,-47.35,-22.75,47.35,-22.75,47.35,22.75,-47.35,22.75,6287.302148429601,5304.758789078939,6192.602148429602,5304.758789046061,6192.602148445399,5259.258789046061,6287.302148445398,5259.258789078939
SEATING,-47.35,-22.75,47.35,-22.75,47.35,22.75,-47.35,22.75,6331.311914054601,5304.758789078939,6236.611914054602,5304.758789046061,6236.611914070399,5259.258789046061,6331.311914070398,5259.258789078939
SOFA,-146,-76.8,146,-76.8,146,76.8,-146,76.8,6148.87431640625,5710.33447265625,6148.87431640625,5418.33447265625,6302.47431640625,5418.33447265625,6302.47431640625,5710.33447265625
SEATING,-36.5,-43,36.5,-43,36.5,43,-36.5,43,6251.597348716697,5831.60747087643,6193.357962537168,5787.594133154419,6245.209291908303,5718.98334943607,6303.448678087832,5762.996687158081
SEATING,-47.35,-22.75,47.35,-22.75,47.35,22.75,-47.35,22.75,6242.510839803969,5134.239257895296,6337.210839803969,5134.239257729704,6337.210839883531,5179.739257729704,6242.510839883531,5179.739257895296
SEATING,-47.35,-22.75,47.35,-22.75,47.35,22.75,-47.35,22.75,6191.795507772719,5133.723632895296,6286.495507772719,5133.723632729704,6286.495507852281,5179.223632729704,6191.795507852281,5179.223632895296
TABLE,-60,-30.25,60,-30.25,60,30.25,-60,30.25,6062.41015625,5053.76318359375,6062.41015625,5173.76318359375,6001.91015625,5173.76318359375,6001.91015625,5053.76318359375
SEATING,-24.2,-23.55,24.2,-23.55,24.2,23.55,-24.2,23.55,6077.24296875,5110.87626953125,6077.24296875,5062.47626953125,6124.34296875,5062.47626953125,6124.34296875,5110.87626953125
SEATING,-24.2,-23.55,24.2,-23.55,24.2,23.55,-24.2,23.55,6077.24296875,5164.463671875,6077.24296875,5116.063671875,6124.34296875,5116.063671875,6124.34296875,5164.463671875
TABLE,-60.2,-25,60.2,-25,60.2,25,-60.2,25,6302.48388671875,5671.7791015625,6302.48388671875,5551.3791015625,6352.48388671875,5551.3791015625,6352.48388671875,5671.7791015625
STORAGE_FURNITURE,-60,-20,60,-20,60,20,-60,20,6012.43310546875,4710.2548828125,6012.43310546875,4830.2548828125,5972.43310546875,4830.2548828125,5972.43310546875,4710.2548828125
