in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,262.71455,-477.12216,716.73405,-477.12216,716.73405,-119.68809,262.71455,-119.68809,262.71455,-477.12216,716.73405,-477.12216,716.73405,-119.68809,262.71455,-119.68809
SOFA,-146,-76.8,146,-76.8,146,76.8,-146,76.8,308.2015258789063,-190.84973144531247,308.2015258789062,-482.8497314453125,461.8015258789062,-482.8497314453125,461.8015258789063,-190.84973144531253
TABLE,-45,-27.5,45,-27.5,45,27.5,-45,27.5,472.73577812506164,-260.6565653856605,500.2905163047184,-346.3346629593728,552.6493537108759,-329.495656294027,525.0946155312191,-243.8175587203147
SEATING,-34,-33.5,34,-33.5,34,33.5,-34,33.5,472.222717013474,-129.60029235979266,408.2299859144888,-152.59877853808229,430.89025906074477,-215.65044006208234,494.88299015972996,-192.65195388379271
STORAGE_FURNITURE,-73.5,-19.9,73.5,-19.9,73.5,19.9,-73.5,19.9,257.81459960937497,-133.69808959960938,257.814599609375,-280.6980895996094,297.61459960937503,-280.6980895996094,297.614599609375,-133.69808959960938
STORAGE_FURNITURE,-73.5,-19.9,73.5,-19.9,73.5,19.9,-73.5,19.9,257.81459960937497,-312.6121520996094,257.814599609375,-459.6121520996094,297.61459960937503,-459.6121520996094,297.614599609375,-312.6121520996094
LIGHTING,-16,-119.5,16,-119.5,16,119.5,-16,119.5,349.13633591634004,-137.24863383474866,320.19460836345434,-150.90060828002723,422.1577925016287,-367.05913594064197,451.0995200545144,-353.4071614953634
SEATING,-62.85,-62.95,62.85,-62.95,62.85,62.95,-62.85,62.95,546.4221605634202,-506.73331434268243,663.8718596208605,-461.94427336928436,619.0115552568923,-344.30770128231757,501.561856199452,-389.09674225571564
LIGHTING,-7.5,-8.5,7.5,-8.5,7.5,8.5,-7.5,8.5,688.806364661607,-462.13016080170104,703.0047572350046,-457.2922223635143,697.521760338393,-441.2007107803302,683.3233677649954,-446.0386492185169
