in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-336.3,-324.45004,489.32085,-324.45004,489.32085,556.07644,-336.3,556.07644,-336.3,-324.45004,489.32085,-324.45004,489.32085,556.07644,-336.3,556.07644
SOFA,-121.25,-79.45,121.25,-79.45,121.25,79.45,-121.25,79.45,84.29021902084348,274.5552978515625,84.29021902084354,517.0552978515625,-74.60978097915647,517.0552978515625,-74.60978097915653,274.5552978515625
DECORATION,-80.5,-115.5,80.5,-115.5,80.5,115.5,-80.5,115.5,-159.6710205078125,173.91488647460938,1.3289794921875,173.91488647460938,1.3289794921875,404.9148864746094,-159.6710205078125,404.9148864746094
DECORATION,-80.5,-115.5,80.5,-115.5,80.5,115.5,-80.5,115.5,9.062666462735066,583.3862501346831,-151.85147951246108,588.6434000348918,-159.39434676058664,357.7665818965669,1.5197992146095345,352.5094319963582
SEATING,-27.5,-26.5,27.5,-26.5,27.5,26.5,-27.5,26.5,-211.87250459238385,495.74092346350795,-238.72411353978688,543.7408307231657,-284.97856962636615,517.8656439193046,-258.1269606789631,469.8657366596468
TABLE,-30,-30,30,-30,30,30,-30,30,-132.8109359741211,316.0194091796875,-72.8109359741211,316.0194091796875,-72.8109359741211,376.0194091796875,-132.8109359741211,376.0194091796875
LIGHTING,-23.55,-23.55,23.55,-23.55,23.55,23.55,-23.55,23.55,207.71707458496093,434.41051025390624,254.81707458496095,434.41051025390624,254.81707458496095,481.51051025390626,207.71707458496093,481.51051025390626
LIGHTING,-23.55,-23.55,23.55,-23.55,23.55,23.55,-23.55,23.55,203.18735046386718,272.53258056640624,250.2873504638672,272.53258056640624,250.2873504638672,319.63258056640626,203.18735046386718,319.63258056640626
LIGHTING,-27.15,-27.15,27.15,-27.15,27.15,27.15,-27.15,27.15,239.03405151367187,355.1024108886719,293.33405151367185,355.1024108886719,293.33405151367185,409.40241088867185,239.03405151367187,409.40241088867185
DECORATION,-8.55,-2.7,8.55,-2.7,8.55,2.7,-8.55,2.7,478.47511101342303,335.5578682904422,479.31431719765106,352.63726327329664,473.9208240451707,352.9022757525266,473.0816178609427,335.8228807696721
DECORATION,-9.3,-9.2,9.3,-9.2,9.3,9.2,-9.3,9.2,472.263906466776,209.1537159461751,473.1767272285679,227.73130347138522,454.79889870900524,228.63430895616864,453.8860779472133,210.05672143095853
STORAGE_FURNITURE,-29.95,-8,29.95,-8,29.95,8,-29.95,8,467.9873499939391,162.8728296537254,470.92702524579573,222.70065185555407,454.94630479121713,223.48587395955585,452.0066295393605,163.65805175772718
DECORATION,-7.1,-6.95,7.1,-6.95,7.1,6.95,-7.1,6.95,465.99766311927556,166.69534309919874,466.69454773657714,180.87823250263725,452.81129684166194,181.56039420548876,452.11441222436036,167.37750480205025
DECORATION,-7.1,-6.95,7.1,-6.95,7.1,6.95,-7.1,6.95,466.83152542396306,184.60540779646436,467.52841004126464,198.78829719990287,453.64515914634944,199.4704589027544,452.94827452904786,185.28756949931588
DECORATION,-7.1,-6.95,7.1,-6.95,7.1,6.95,-7.1,6.95,467.38096390052556,203.02729805525342,468.07784851782714,217.21018745869193,454.19459762291194,217.89234916154345,453.49771300561036,203.70945975810494
