in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-200.01,-474.96356,554.94832,-474.96356,554.94832,-3.96356,-200.01,-3.96356,-200.01,-474.96356,554.94832,-474.96356,554.94832,-3.96356,-200.01,-3.96356
SEATING,-47.35,-22.75,47.35,-22.75,47.35,22.75,-47.35,22.75,-140.6859909057617,-206.9656982421875,-45.98599090576172,-206.9656982421875,-45.98599090576172,-161.4656982421875,-140.6859909057617,-161.4656982421875
SEATING,-47.35,-22.75,47.35,-22.75,47.35,22.75,-47.35,22.75,-191.40029296875,-207.482177734375,-96.70029296875,-207.482177734375,-96.70029296875,-161.982177734375,-191.40029296875,-161.982177734375
SEATING,-22.3,-24.4,22.3,-24.4,22.3,24.4,-22.3,24.4,-134.6012756347656,-31.695691680908208,-179.20127563476564,-31.6956916809082,-179.20127563476564,-80.4956916809082,-134.6012756347656,-80.49569168090821
SEATING,-22.3,-24.4,22.3,-24.4,22.3,24.4,-22.3,24.4,-81.0988800048828,-31.695691680908208,-125.69888000488281,-31.6956916809082,-125.69888000488282,-80.4956916809082,-81.09888000488282,-80.49569168090821
TABLE,-57.85,-40.6,57.85,-40.6,57.85,40.6,-57.85,40.6,-184.33353576660156,-161.70569763183593,-68.63353576660157,-161.70569763183593,-68.63353576660157,-80.50569763183594,-184.33353576660156,-80.50569763183594
SOFA,-110.5,-45.5,110.5,-45.5,110.5,45.5,-110.5,45.5,-200.00999450683588,-253.95355224609375,-200.009994506836,-474.95355224609375,-109.00999450683598,-474.95355224609375,-109.0099945068359,-253.95355224609375
SEATING,-25,-23,25,-23,25,23,-25,23,167.7138671875,-237.7438507080078,217.7138671875,-237.7438507080078,217.7138671875,-191.7438507080078,167.7138671875,-191.7438507080078
SEATING,-25,-23,25,-23,25,23,-25,23,217.72386169433594,-237.7438507080078,267.72386169433594,-237.7438507080078,267.72386169433594,-191.7438507080078,217.72386169433594,-191.7438507080078
