in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,827.62968,1177.81662,1252.4178,1177.81662,1252.4178,1699.81662,827.62968,1699.81662,827.62968,1177.81662,1252.4178,1177.81662,1252.4178,1699.81662,827.62968,1699.81662
SOFA,-91,-45,91,-45,91,45,-91,45,1140.1571044499672,1503.5191651244415,958.1571044499672,1503.5191649536835,958.1571045344078,1413.5191649536835,1140.1571045344078,1413.5191651244415
STORAGE_FURNITURE,-90,-22.5,90,-22.5,90,22.5,-90,22.5,958.46484375,1177.82666015625,1138.46484375,1177.82666015625,1138.46484375,1222.82666015625,958.46484375,1222.82666015625
