in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-521.48,-125.41176,649.20079,-125.41176,649.20079,344.79335,-521.48,344.79335,-521.48,-125.41176,649.20079,-125.41176,649.20079,344.79335,-521.48,344.79335
SEATING,-36.5,-40.5,36.5,-40.5,36.5,40.5,-36.5,40.5,255.43307495117188,198.5840606689453,182.43307495117188,198.5840606689453,182.43307495117188,117.58406066894531,255.43307495117188,117.58406066894531
SOFA,-130.3,-83.7,130.3,-83.7,130.3,83.7,-130.3,83.7,-471.30683593750007,-52.653405380249,-210.70683593750002,-52.653405380249055,-210.70683593749996,114.74659461975095,-471.30683593749995,114.74659461975101
SOFA,-101.05,-49.65,101.05,-49.65,101.05,49.65,-101.05,49.65,-294.18218688964845,165.2126708984375,-92.08218688964844,165.2126708984375,-92.08218688964844,264.5126708984375,-294.18218688964845,264.5126708984375
