in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-37.2459,-102,672.36567,-102,672.36567,354.20182,-37.2459,354.20182,-37.2459,-102,672.36567,-102,672.36567,354.20182,-37.2459,354.20182
SOFA,-146,-76.8,146,-76.8,146,76.8,-146,76.8,380.3566995984279,-101.99558350958922,672.3566995984279,-101.99558350958937,672.3566995984279,51.60441649041063,380.3566995984279,51.60441649041077
TABLE,-69.3,-69.3,69.3,-69.3,69.3,69.3,-69.3,69.3,96.87806321271131,-11.831634175162577,235.4780632127113,-11.831634175162606,235.47806321271133,126.76836582483739,96.87806321271134,126.76836582483742
