in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-396.04055,-25.12197,-53.92458,-25.12197,-53.92458,349.37974,-396.04055,349.37974,-396.04055,-25.12197,-53.92458,-25.12197,-53.92458,349.37974,-396.04055,349.37974
STORAGE_FURNITURE,-90,-22.5,90,-22.5,90,22.5,-90,22.5,-54.54000091552731,64.86099243164064,-54.54000091552738,244.86099243164062,-99.54000091552737,244.86099243164062,-99.54000091552732,64.86099243164061
VEGETATION,-53.75,-54.6,53.75,-54.6,53.75,54.6,-53.75,54.6,-298.04306640625,272.15539550781256,-298.04306640625003,379.65539550781256,-407.24306640625,379.65539550781244,-407.24306640624997,272.15539550781244
VEGETATION,-50.85,-52.2,50.85,-52.2,50.85,52.2,-50.85,52.2,-31.72469787597654,268.5154479980469,-31.72469787597658,370.2154479980469,-136.12469787597658,370.21544799804684,-136.12469787597655,268.51544799804685
SOFA,-109.85,-92.25,109.85,-92.25,109.85,92.25,-109.85,92.25,-396.03268965863543,272.14579951667326,-396.0365241804506,52.445799550136115,-211.53652420855207,52.44257938957671,-211.5326896867369,272.14257935611386
