in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,2508.97588,1970.08857,2833.13595,1970.08857,2833.13595,2298.65052,2508.97588,2298.65052,2508.97588,1970.08857,2833.13595,1970.08857,2833.13595,2298.65052,2508.97588,2298.65052
SEATING,-87.5,-20.5,87.5,-20.5,87.5,20.5,-87.5,20.5,2516.48583984375,2205.682861328125,2516.48583984375,2030.682861328125,2557.48583984375,2030.682861328125,2557.48583984375,2205.682861328125
SOFA,-123.3,-47.05,123.3,-47.05,123.3,47.05,-123.3,47.05,2832.561962890625,1972.577197265625,2832.561962890625,2219.177197265625,2738.461962890625,2219.177197265625,2738.461962890625,1972.577197265625
SEATING,-32.2,-28.55,32.2,-28.55,32.2,28.55,-32.2,28.55,2658.768017578125,2215.532763671875,2723.168017578125,2215.532763671875,2723.168017578125,2272.632763671875,2658.768017578125,2272.632763671875
TABLE,-47.5,-47.55,47.5,-47.55,47.5,47.55,-47.5,47.55,2609.6806640625,2059.977587890625,2704.6806640625,2059.977587890625,2704.6806640625,2155.077587890625,2609.6806640625,2155.077587890625
