in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,111.17829,-1157.24596,470.17829,-1157.24596,470.17829,-782.24596,111.17829,-782.24596,111.17829,-1157.24596,470.17829,-1157.24596,470.17829,-782.24596,111.17829,-782.24596
SOFA,-105,-45,105,-45,105,45,-105,45,480.1683654785157,-957.247314453125,480.16836547851557,-747.247314453125,390.16836547851557,-747.247314453125,390.1683654785157,-957.247314453125
STORAGE_FURNITURE,-90,-22.5,90,-22.5,90,22.5,-90,22.5,108.68829345703128,-762.2099609375,108.68829345703122,-942.2099609375,153.68829345703122,-942.2099609375,153.68829345703128,-762.2099609375
TABLE,-50,-50,50,-50,50,50,-50,50,267.01739501953125,-1059.5081176757812,367.01739501953125,-1059.5081176757812,367.01739501953125,-959.5081176757812,267.01739501953125,-959.5081176757812
SEATING,-24.15,-28.45,24.15,-28.45,24.15,28.45,-24.15,28.45,243.53352050781248,-987.2863403320313,243.5335205078125,-1035.5863403320313,300.4335205078125,-1035.5863403320313,300.4335205078125,-987.2863403320313
SEATING,-24.15,-28.45,24.15,-28.45,24.15,28.45,-24.15,28.45,385.9294360715106,-1035.0586172039746,387.9999251314588,-986.8030157151045,331.1522289675519,-984.3638681475879,329.0817399076037,-1032.619469636458
