in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-287.05248,-331.11918,474.16735,-331.11918,474.16735,183.11488,-287.05248,183.11488,-287.05248,-331.11918,474.16735,-331.11918,474.16735,183.11488,-287.05248,183.11488
TABLE,-87,-49,87,-49,87,49,-87,49,113.10166931152347,-165.65242767333984,113.10166931152341,8.34757232666017,15.101669311523402,8.347572326660142,15.101669311523473,-165.65242767333984
SOFA,-121.65,-78.15,121.65,-78.15,121.65,78.15,-121.65,78.15,380.52710571289066,-319.2102569580078,380.5271057128906,-75.91025695800778,224.2271057128906,-75.91025695800784,224.22710571289065,-319.21025695800785
