in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,553.39232,-406.19784,893.37391,-406.19784,893.37391,-118.5509,553.39232,-118.5509,553.39232,-406.19784,893.37391,-406.19784,893.37391,-118.5509,553.39232,-118.5509
TABLE,-20.05,-21.5,20.05,-21.5,20.05,21.5,-20.05,21.5,594.4113647460938,-379.7649841308594,634.5113647460937,-379.7649841308594,634.5113647460937,-336.7649841308594,594.4113647460938,-336.7649841308594
DECORATION,-115,-80,115,-80,115,80,-115,80,814.1276077708327,-348.3354188463355,814.0807629339829,-118.33542361685453,654.0807662526048,-118.36801132944576,654.1276110894546,-348.3680065589267
SEATING,-32.65,-33.3,32.65,-33.3,32.65,33.3,-32.65,33.3,706.9863700784242,-244.30115110121548,772.2863646607739,-244.2745513810914,772.2592353903258,-177.67455690659702,706.9592408079761,-177.7011566267211
VEGETATION,-10.7,-10.7,10.7,-10.7,10.7,10.7,-10.7,10.7,726.8969637541232,-400.91196571262594,748.2969637541233,-400.91196571262594,748.2969637541233,-379.51196571262597,726.8969637541232,-379.51196571262597
TABLE,-20.05,-21.5,20.05,-21.5,20.05,21.5,-20.05,21.5,634.5212890625,-379.7649841308594,674.6212890625,-379.7649841308594,674.6212890625,-336.7649841308594,634.5212890625,-336.7649841308594
TABLE,-20.05,-21.5,20.05,-21.5,20.05,21.5,-20.05,21.5,554.3016229757513,-379.76501412675987,594.4016229757514,-379.7650151701151,594.4016240945612,-336.76501517011513,554.3016240945611,-336.7650141267599
DECORATION,-54.05,-7.05,54.05,-7.05,54.05,7.05,-54.05,7.05,893.3586169333635,-331.5717561957601,893.3365976178735,-223.47175843836075,879.2365979103865,-223.47463052298988,879.2586172258765,-331.5746282803892
