in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-468.53855,274.7492,600.93213,274.7492,600.93213,836.96392,-468.53855,836.96392,-468.53855,274.7492,600.93213,274.7492,600.93213,836.96392,-468.53855,836.96392
STORAGE_FURNITURE,-51,-22.05,51,-22.05,51,22.05,-51,22.05,378.43687744140624,667.27490234375,378.43687744140624,565.27490234375,422.53687744140626,565.27490234375,422.53687744140626,667.27490234375
DECORATION,-24.7,-10.3,24.7,-10.3,24.7,10.3,-24.7,10.3,-21.905422973632817,574.1198608398438,-21.90542297363281,524.7198608398437,-1.30542297363281,524.7198608398437,-1.3054229736328136,574.1198608398438
DECORATION,-24.7,-10.3,24.7,-10.3,24.7,10.3,-24.7,10.3,-20.543957519531254,632.8819458007813,-20.543957519531247,583.4819458007812,0.05604248046875249,583.4819458007812,0.056042480468748934,632.8819458007813
DECORATION,-24.7,-10.3,24.7,-10.3,24.7,10.3,-24.7,10.3,-20.543960380554203,693.2479736328125,-20.543960380554196,643.8479736328125,0.05603961944580327,643.8479736328125,0.056039619445799715,693.2479736328125
DECORATION,-24.7,-10.3,24.7,-10.3,24.7,10.3,-24.7,10.3,-21.905422973632817,649.2248413085938,-21.90542297363281,599.8248413085937,-1.30542297363281,599.8248413085937,-1.3054229736328136,649.2248413085938
DECORATION,-24.7,-10.3,24.7,-10.3,24.7,10.3,-24.7,10.3,109.36195068359375,463.10362548828124,158.76195068359374,463.10362548828124,158.76195068359374,483.70362548828126,109.36195068359375,483.70362548828126
DECORATION,-24.7,-10.3,24.7,-10.3,24.7,10.3,-24.7,10.3,168.1239440917969,461.74205322265624,217.52394409179686,461.74205322265624,217.52394409179686,482.34205322265626,168.1239440917969,482.34205322265626
DECORATION,-24.7,-10.3,24.7,-10.3,24.7,10.3,-24.7,10.3,34.256901550292966,463.10350341796874,83.65690155029297,463.10350341796874,83.65690155029297,483.70350341796876,34.256901550292966,483.70350341796876
DECORATION,-24.7,-10.3,24.7,-10.3,24.7,10.3,-24.7,10.3,93.01906280517578,461.74205322265624,142.41906280517577,461.74205322265624,142.41906280517577,482.34205322265626,93.01906280517578,482.34205322265626
VEGETATION,-19.1,-18.95,19.1,-18.95,19.1,18.95,-19.1,18.95,-330.0429931640625,567.3018920898437,-291.8429931640625,567.3018920898437,-291.8429931640625,605.2018920898438,-330.0429931640625,605.2018920898438
DECORATION,-111,-2.5,111,-2.5,111,2.5,-111,2.5,-463.6244506835938,600.0949096679688,-463.6244506835937,822.0949096679688,-468.6244506835937,822.0949096679688,-468.6244506835938,600.0949096679688
STORAGE_FURNITURE,-12.5,-12.5,12.5,-12.5,12.5,12.5,-12.5,12.5,94.1351318359375,598.9714965820312,119.1351318359375,598.9714965820312,119.1351318359375,623.9714965820312,94.1351318359375,623.9714965820312
STORAGE_FURNITURE,-12.5,-12.5,12.5,-12.5,12.5,12.5,-12.5,12.5,139.04244995117188,618.8841552734375,164.04244995117188,618.8841552734375,164.04244995117188,643.8841552734375,139.04244995117188,643.8841552734375
STORAGE_FURNITURE,-12.5,-12.5,12.5,-12.5,12.5,12.5,-12.5,12.5,-255.56922051110632,431.3293615874942,-255.56922051110632,456.3293615874942,-280.5692205111063,456.3293615874942,-280.5692205111063,431.3293615874942
LIGHTING,-22.95,-22.95,22.95,-22.95,22.95,22.95,-22.95,22.95,83.555126953125,584.7995727539062,129.455126953125,584.7995727539062,129.455126953125,630.6995727539063,83.555126953125,630.6995727539063
LIGHTING,-22.95,-22.95,22.95,-22.95,22.95,22.95,-22.95,22.95,122.18630676269531,614.30244140625,168.0863067626953,614.30244140625,168.0863067626953,660.20244140625,122.18630676269531,660.20244140625
DECORATION,-24,-25,24,-25,24,25,-24,25,-357.4373474121094,484.17742919921875,-309.4373474121094,484.17742919921875,-309.4373474121094,534.1774291992188,-357.4373474121094,534.1774291992188
DECORATION,-19.8,-19.8,19.8,-19.8,19.8,19.8,-19.8,19.8,103.92776031494141,594.9265625,143.52776031494142,594.9265625,143.52776031494142,634.5265625,103.92776031494141,634.5265625
VEGETATION,-42.45,-43,42.45,-43,42.45,43,-42.45,43,465.4852294921875,770.6171997070312,465.4852294921875,855.5171997070313,379.4852294921875,855.5171997070313,379.4852294921875,770.6171997070312
STORAGE_FURNITURE,-12.5,-12.5,12.5,-12.5,12.5,12.5,-12.5,12.5,-147.1649627685547,416.14105224609375,-122.16496276855469,416.14105224609375,-122.16496276855469,441.14105224609375,-147.1649627685547,441.14105224609375
STORAGE_FURNITURE,-12.5,-12.5,12.5,-12.5,12.5,12.5,-12.5,12.5,-121.67228698730469,440.828125,-146.6722869873047,440.828125,-146.6722869873047,415.828125,-121.67228698730469,415.828125
STORAGE_FURNITURE,-12.5,-12.5,12.5,-12.5,12.5,12.5,-12.5,12.5,-122.13858032226562,440.828125,-147.13858032226562,440.828125,-147.13858032226562,415.828125,-122.13858032226562,415.828125
VEGETATION,-6.75,-6.7,6.75,-6.7,6.75,6.7,-6.75,6.7,-69.94969016813192,444.03019300354686,-57.0478444296736,440.05623068099965,-53.103318865071195,452.86250719176564,-66.00516460352952,456.83646951431285
LIGHTING,-11,-11,11,-11,11,11,-11,11,-33.11820983886719,416.14105224609375,-11.118209838867188,416.14105224609375,-11.118209838867188,438.14105224609375,-33.11820983886719,438.14105224609375
