in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-462.99055,-373.07233,716.33419,-373.07233,716.33419,116.74608,-462.99055,116.74608,-462.99055,-373.07233,716.33419,-373.07233,716.33419,116.74608,-462.99055,116.74608
STORAGE_FURNITURE,-100,-20.05,100,-20.05,100,20.05,-100,20.05,540.8689980672747,-343.51940590607506,689.5680153609359,-209.77112645583526,662.7514853311628,-179.95697348845619,514.0524680375016,-313.705252938696
SOFA,-99,-48.5,99,-48.5,99,48.5,-99,48.5,97.42062377929685,-54.69015502929689,97.4206237792969,-252.69015502929688,194.4206237792969,-252.69015502929688,194.42062377929685,-54.69015502929686
SOFA,-99,-48.5,99,-48.5,99,48.5,-99,48.5,445.52691650390625,46.40327382087709,247.52691650390625,46.40327382087706,247.52691650390625,-50.59672617912294,445.52691650390625,-50.59672617912291
TABLE,-45,-30,45,-30,45,30,-45,30,375.6546325683594,-201.00286865234375,375.6546325683594,-111.00286865234375,315.6546325683594,-111.00286865234375,315.6546325683594,-201.00286865234375
