in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-312.51339,-86.49691,453.91411,-86.49691,453.91411,338.00059,-312.51339,338.00059,-312.51339,-86.49691,453.91411,-86.49691,453.91411,338.00059,-312.51339,338.00059
STORAGE_FURNITURE,-90,-24.5,90,-24.5,90,24.5,-90,24.5,-312.5033874511719,214.27626037597656,-312.5033874511719,34.27626037597656,-263.5033874511719,34.27626037597656,-263.5033874511719,214.27626037597656
TABLE,-90,-45,90,-45,90,45,-90,45,-153.3626708984375,70.16390991210938,26.6373291015625,70.16390991210938,26.6373291015625,160.16390991210938,-153.3626708984375,160.16390991210938
