in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,174.56932,1274.84711,404.60574,1274.84711,404.60574,1574.84711,174.56932,1574.84711,174.56932,1274.84711,404.60574,1274.84711,404.60574,1574.84711,174.56932,1574.84711
SOFA,-95,-49.5,95,-49.5,95,49.5,-95,49.5,203.59719848632812,1274.8570556640625,393.5971984863281,1274.8570556640625,393.5971984863281,1373.8570556640625,203.59719848632812,1373.8570556640625
STORAGE_FURNITURE,-105,-24,105,-24,105,24,-105,24,404.600341796875,1574.838623046875,194.600341796875,1574.838623046875,194.600341796875,1526.838623046875,404.600341796875,1526.838623046875
