in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-1189.77106,-237.66367,-490.63602,-237.66367,-490.63602,689.22124,-1189.77106,689.22124,-1189.77106,-237.66367,-490.63602,-237.66367,-490.63602,689.22124,-1189.77106,689.22124
TABLE,-62.5,-37.5,62.5,-37.5,62.5,37.5,-62.5,37.5,-650.396484375,424.3821716308594,-650.396484375,549.3821716308594,-725.396484375,549.3821716308594,-725.396484375,424.3821716308594
SOFA,-112.3,-50,112.3,-50,112.3,50,-112.3,50,-878.6091918945312,358.6742431640625,-878.6091918945312,583.2742431640625,-978.6091918945312,583.2742431640625,-978.6091918945312,358.67424316406255
STORAGE_FURNITURE,-64.9,-23.05,64.9,-23.05,64.9,23.05,-64.9,23.05,-1189.7610595703125,520.3025573730469,-1189.7610595703125,390.5025573730469,-1143.6610595703125,390.5025573730469,-1143.6610595703125,520.3025573730469
TABLE,-55,-37.5,55,-37.5,55,37.5,-55,37.5,-1102.6522216796875,514.7633666992188,-1102.6522216796875,404.76336669921875,-1027.6522216796875,404.76336669921875,-1027.6522216796875,514.7633666992188
STORAGE_FURNITURE,-60,-24.5,60,-24.5,60,24.5,-60,24.5,-1062.1052856445312,236.24591064453125,-942.1052856445312,236.24591064453125,-942.1052856445312,285.24591064453125,-1062.1052856445312,285.24591064453125
RADIATOR,-33.25,-2.5,33.25,-2.5,33.25,2.5,-33.25,2.5,-953.9755859375,689.2112426757812,-1020.4755859375,689.2112426757812,-1020.4755859375,684.2112426757812,-953.9755859375,684.2112426757812
RADIATOR,-24.25,-2.5,24.25,-2.5,24.25,2.5,-24.25,2.5,-590.74609375,689.2112426757812,-639.24609375,689.2112426757812,-639.24609375,684.2112426757812,-590.74609375,684.2112426757812
SEATING,-20.65,-24.5,20.65,-24.5,20.65,24.5,-20.65,24.5,-703.7458251953125,377.8721618652344,-662.4458251953125,377.8721618652344,-662.4458251953125,426.8721618652344,-703.7458251953125,426.8721618652344
SEATING,-20.65,-24.5,20.65,-24.5,20.65,24.5,-20.65,24.5,-593.886474609375,461.2416931152344,-593.886474609375,502.54169311523435,-642.886474609375,502.54169311523435,-642.886474609375,461.2416931152344
SEATING,-20.65,-24.5,20.65,-24.5,20.65,24.5,-20.65,24.5,-662.7123657226563,595.8921508789062,-704.0123657226562,595.8921508789062,-704.0123657226562,546.8921508789062,-662.7123657226563,546.8921508789062
SEATING,-20.65,-24.5,20.65,-24.5,20.65,24.5,-20.65,24.5,-755.4027099609375,509.9676574707031,-755.4027099609375,468.66765747070315,-706.4027099609375,468.66765747070315,-706.4027099609375,509.9676574707031
DECORATION,-30,-45,30,-45,30,45,-30,45,-839.362060546875,677.48486328125,-839.362060546875,617.48486328125,-749.362060546875,617.48486328125,-749.362060546875,677.48486328125
VEGETATION,-29.4,-28.75,29.4,-28.75,29.4,28.75,-29.4,28.75,-1163.5787353515625,614.677099609375,-1163.5787353515625,555.877099609375,-1106.0787353515625,555.877099609375,-1106.0787353515625,614.677099609375
VEGETATION,-12.85,-18,12.85,-18,12.85,18,-12.85,18,-1050.5805908203124,236.24591064453125,-1024.8805908203126,236.24591064453125,-1024.8805908203126,272.24591064453125,-1050.5805908203124,272.24591064453125
LIGHTING,-14,-14,14,-14,14,14,-14,14,-969.4105224609375,236.24591064453125,-941.4105224609375,236.24591064453125,-941.4105224609375,264.24591064453125,-969.4105224609375,264.24591064453125
