in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-146.53645,-525.21335,577.29749,-525.21335,577.29749,31.32822,-146.53645,31.32822,-146.53645,-525.21335,577.29749,-525.21335,577.29749,31.32822,-146.53645,31.32822
SOFA,-123.3,-125,123.3,-125,123.3,125,-123.3,125,323.9874755859375,-325.83428955078125,570.5874755859375,-325.83428955078125,570.5874755859375,-75.83428955078125,323.9874755859375,-75.83428955078125
STORAGE_FURNITURE,-80,-22.5,80,-22.5,80,22.5,-80,22.5,-146.0463790893554,-269.3372497558594,-146.04637908935553,-429.3372497558594,-101.04637908935553,-429.3372497558594,-101.04637908935541,-269.3372497558594
TABLE,-105,-37.5,105,-37.5,105,37.5,-105,37.5,-23.18301391601564,-358.17532348632807,186.81698608398438,-358.1753234863282,186.81698608398438,-283.1753234863282,-23.18301391601561,-283.17532348632807
SEATING,-21.85,-29.35,21.85,-29.35,21.85,29.35,-21.85,29.35,101.95353851318362,-149.46532287597657,58.253538513183614,-149.46532287597654,58.25353851318357,-208.16532287597656,101.95353851318357,-208.16532287597659
SEATING,-21.85,-29.35,21.85,-29.35,21.85,29.35,-21.85,29.35,-34.393016433715815,-254.5959533691406,-34.39301643371583,-298.2959533691406,24.306983566284174,-298.29595336914065,24.306983566284188,-254.59595336914063
SEATING,-21.85,-29.35,21.85,-29.35,21.85,29.35,-21.85,29.35,60.93507995605469,-491.88530883789065,104.6350799560547,-491.88530883789065,104.63507995605468,-433.1853088378906,60.93507995605468,-433.1853088378906
TABLE,-60,-25,60,-25,60,25,-60,25,300.3735046386719,-58.161958456039436,300.3735046386719,61.838041543960564,250.3735046386719,61.83804154396058,250.37350463867185,-58.16195845603942
STORAGE_FURNITURE,-35.15,-20.45,35.15,-20.45,35.15,20.45,-35.15,20.45,195.22034912109376,-470.05333862304684,195.22034912109373,-540.3533386230469,236.12034912109374,-540.3533386230469,236.12034912109377,-470.0533386230469
SEATING,-21.85,-29.35,21.85,-29.35,21.85,29.35,-21.85,29.35,198.02698669433596,-391.27367553710934,198.02698669433593,-347.57367553710935,139.32698669433591,-347.5736755371094,139.32698669433594,-391.2736755371094
RADIATOR,-33.5,-2.5,33.5,-2.5,33.5,2.5,-33.5,2.5,498.6502685546875,-524.1024169921875,565.6502685546875,-524.1024169921875,565.6502685546875,-519.1024169921875,498.6502685546875,-519.1024169921875
RADIATOR,-33.5,-2.5,33.5,-2.5,33.5,2.5,-33.5,2.5,-135.92735290527344,-523.7992553710938,-68.92735290527344,-523.7992553710938,-68.92735290527344,-518.7992553710938,-135.92735290527344,-518.7992553710938
STORAGE_FURNITURE,-80,-20,80,-20,80,20,-80,20,433.6013488769532,75.55158042907716,433.60134887695307,-84.44841957092284,473.60134887695307,-84.44841957092287,473.6013488769532,75.55158042907713
STORAGE_FURNITURE,-45,-20,45,-20,45,20,-45,20,594.7875366210938,-405.3616943359375,504.78753662109375,-405.3616943359375,504.78753662109375,-445.3616943359375,594.7875366210938,-445.3616943359375
STORAGE_FURNITURE,-35.15,-20.45,35.15,-20.45,35.15,20.45,-35.15,20.45,-146.04637451171874,-138.82352600097656,-146.04637451171877,-209.12352600097654,-105.14637451171876,-209.12352600097657,-105.14637451171873,-138.82352600097659
SEATING,-21.85,-29.35,21.85,-29.35,21.85,29.35,-21.85,29.35,198.02698669433596,-301.7607971191406,198.02698669433593,-258.0607971191406,139.32698669433591,-258.06079711914066,139.32698669433594,-301.76079711914065
SEATING,-21.85,-29.35,21.85,-29.35,21.85,29.35,-21.85,29.35,-34.39301261901855,-353.1423400878906,-34.39301261901856,-396.8423400878906,24.30698738098144,-396.84234008789065,24.306987380981454,-353.14234008789066
