in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-654.72092,-748.73302,-2.72261,-748.73302,-2.72261,2.99,-654.72092,2.99,-654.72092,-748.73302,-2.72261,-748.73302,-2.72261,2.99,-654.72092,2.99
SEATING,-32.15,-26.3,32.15,-26.3,32.15,26.3,-32.15,26.3,-166.6013517207111,-403.3699912261093,-228.39405174575927,-385.5893212833199,-242.93935872850764,-436.1382485199845,-181.14665870345948,-453.91891846277383
SEATING,-32.15,-26.3,32.15,-26.3,32.15,26.3,-32.15,26.3,-239.1691007441486,-402.568416519078,-300.96180076919677,-384.78774657628867,-315.5071077519451,-435.3366738129532,-253.71440772689698,-453.1173437557426
SEATING,-32.15,-26.3,32.15,-26.3,32.15,26.3,-32.15,26.3,-344.4217800626137,-383.183364746692,-405.3187004726069,-403.8244665723931,-388.4334445467613,-453.640609862683,-327.5365241367681,-432.9995080369819
TABLE,-90,-45,90,-45,90,45,-90,45,-594.5680541992188,-146.72239685058594,-414.56805419921875,-146.72239685058594,-414.56805419921875,-56.72239685058594,-594.5680541992188,-56.72239685058594
SEATING,-28,-29,28,-29,28,29,-28,29,-562.7410278320312,-204.73240661621094,-506.74102783203125,-204.73240661621094,-506.74102783203125,-146.73240661621094,-562.7410278320312,-146.73240661621094
SEATING,-28,-29,28,-29,28,29,-28,29,-486.397216796875,-204.73240661621094,-430.397216796875,-204.73240661621094,-430.397216796875,-146.73240661621094,-486.397216796875,-146.73240661621094
SEATING,-28,-29,28,-29,28,29,-28,29,-522.3392944335938,2.979995727539066,-578.3392944335938,2.979995727539059,-578.3392944335938,-55.02000427246094,-522.3392944335938,-55.02000427246094
SEATING,-28,-29,28,-29,28,29,-28,29,-439.892333984375,2.979995727539066,-495.892333984375,2.979995727539059,-495.892333984375,-55.02000427246094,-439.892333984375,-55.02000427246094
SOFA,-130.3,-83.7,130.3,-83.7,130.3,83.7,-130.3,83.7,-351.69075317382817,-60.61224670410158,-351.69075317382806,-321.21224670410163,-184.29075317382808,-321.2122467041015,-184.29075317382816,-60.61224670410152
TABLE,-45.05,-25.1,45.05,-25.1,45.05,25.1,-45.05,25.1,-184.2807556152344,-160.7640563964844,-184.28075561523437,-250.8640563964844,-134.08075561523435,-250.86405639648436,-134.08075561523438,-160.76405639648436
