in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-641.56619,-776.15147,484.95885,-776.15147,484.95885,-63.98387,-641.56619,-63.98387,-641.56619,-776.15147,484.95885,-776.15147,484.95885,-63.98387,-641.56619,-63.98387
TABLE,-100,-47.65,100,-47.65,100,47.65,-100,47.65,-13.704687500000027,-118.68984985351564,-13.70468749999997,-318.6898498535156,81.59531250000003,-318.6898498535156,81.59531249999998,-118.68984985351561
TABLE,-50.2,-27.55,50.2,-27.55,50.2,27.55,-50.2,27.55,73.55890197753905,-569.238232421875,73.55890197753908,-669.638232421875,128.65890197753907,-669.638232421875,128.65890197753905,-569.238232421875
SEATING,-27.4,-24.9,27.4,-24.9,27.4,24.9,-27.4,24.9,131.40531768798826,-179.34375610351563,131.4053176879883,-124.54375610351563,81.60531768798829,-124.54375610351562,81.60531768798828,-179.3437561035156
SEATING,-27.4,-24.9,27.4,-24.9,27.4,24.9,-27.4,24.9,-71.81468811035157,-256.1216979980469,-71.81468811035155,-310.92169799804685,-22.014688110351557,-310.92169799804685,-22.01468811035157,-256.1216979980469
SEATING,-22.7,-29.05,22.7,-29.05,22.7,29.05,-22.7,29.05,-71.81469039916993,-201.347119140625,-71.81469039916992,-246.74711914062502,-13.714690399169914,-246.747119140625,-13.714690399169928,-201.34711914062498
SEATING,-22.7,-29.05,22.7,-29.05,22.7,29.05,-22.7,29.05,139.7043731689453,-237.24222106933595,139.70437316894532,-191.84222106933595,81.60437316894532,-191.84222106933592,81.6043731689453,-237.24222106933593
SEATING,-27.4,-24.9,27.4,-24.9,27.4,24.9,-27.4,24.9,131.39631500244138,-307.4859680175781,131.3963150024414,-252.68596801757815,81.59631500244141,-252.68596801757812,81.5963150024414,-307.4859680175781
SEATING,-27.4,-24.9,27.4,-24.9,27.4,24.9,-27.4,24.9,-71.8146842956543,-131.99892578125002,-71.81468429565429,-186.79892578125,-22.01468429565429,-186.79892578124998,-22.014684295654305,-131.99892578125
DECORATION,-55.85,-4.95,55.85,-4.95,55.85,4.95,-55.85,4.95,484.94884033203124,-666.5547119140625,484.94884033203124,-554.8547119140625,475.04884033203126,-554.8547119140625,475.04884033203126,-666.5547119140625
DECORATION,-55.85,-4.95,55.85,-4.95,55.85,4.95,-55.85,4.95,484.94884033203124,-666.5547119140625,484.94884033203124,-554.8547119140625,475.04884033203126,-554.8547119140625,475.04884033203126,-666.5547119140625
DECORATION,-55.85,-4.95,55.85,-4.95,55.85,4.95,-55.85,4.95,484.9510986328125,-526.4493957519531,484.9510986328125,-414.7493957519531,475.0510986328125,-414.7493957519531,475.0510986328125,-526.4493957519531
DECORATION,-55.85,-4.95,55.85,-4.95,55.85,4.95,-55.85,4.95,-22.319837951660155,-63.993870544433584,-134.01983795166015,-63.9938705444336,-134.01983795166015,-73.8938705444336,-22.319837951660155,-73.89387054443358
DECORATION,-55.85,-4.95,55.85,-4.95,55.85,4.95,-55.85,4.95,117.6901641845703,-63.993870544433584,5.990164184570311,-63.9938705444336,5.990164184570311,-73.8938705444336,117.6901641845703,-73.89387054443358
SEATING,-37.95,-42.7,37.95,-42.7,37.95,42.7,-37.95,42.7,317.9597045898438,-593.9392578125,317.95970458984374,-518.0392578125,232.55970458984373,-518.0392578125,232.55970458984376,-593.9392578125
STORAGE_FURNITURE,-90,-22.5,90,-22.5,90,22.5,-90,22.5,14.00347900390625,-776.1414794921875,194.00347900390625,-776.1414794921875,194.00347900390625,-731.1414794921875,14.00347900390625,-731.1414794921875
SOFA,-112.3,-50,112.3,-50,112.3,50,-112.3,50,-127.62363769531247,-488.8120971679687,-127.62363769531255,-713.4120971679687,-27.623637695312553,-713.4120971679688,-27.623637695312468,-488.8120971679688
SEATING,-37.95,-42.7,37.95,-42.7,37.95,42.7,-37.95,42.7,317.9597051612709,-705.8967767008004,317.95970401841663,-629.9967767008004,232.55970401841662,-629.9967779866996,232.5597051612709,-705.8967779866996
VEGETATION,-36.05,-32.8,36.05,-32.8,36.05,32.8,-36.05,32.8,378.4403564453125,-776.1414306640625,450.5403564453125,-776.1414306640625,450.5403564453125,-710.5414306640625,378.4403564453125,-710.5414306640625
LIGHTING,-18.05,-12.5,18.05,-12.5,18.05,12.5,-18.05,12.5,-104.46494750976562,-761.0718994140625,-68.36494750976563,-761.0718994140625,-68.36494750976563,-736.0718994140625,-104.46494750976562,-736.0718994140625
STORAGE_FURNITURE,-73.5,-19.9,73.5,-19.9,73.5,19.9,-73.5,19.9,-395.0414733886719,-161.22969970703124,-542.0414733886719,-161.22969970703127,-542.0414733886719,-201.02969970703126,-395.0414733886719,-201.02969970703123
