in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,13.25698,-104.89805,524.40707,-104.89805,524.40707,350.18513,13.25698,350.18513,13.25698,-104.89805,524.40707,-104.89805,524.40707,350.18513,13.25698,350.18513
SOFA,-64.75,-39.8,64.75,-39.8,64.75,39.8,-64.75,39.8,282.7740760833308,104.10264782725629,324.2955971941395,226.76565482058197,248.89810409245047,252.28776354969682,207.37658298164177,129.62475655637115
TABLE,-35,-34.8,35,-34.8,35,34.8,-35,34.8,124.38719177246094,160.2980987548828,194.38719177246094,160.2980987548828,194.38719177246094,229.89809875488282,124.38719177246094,229.89809875488282
