in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-345.29692,-260.40092,416.62578,-260.40092,416.62578,513.23938,-345.29692,513.23938,-345.29692,-260.40092,416.62578,-260.40092,416.62578,513.23938,-345.29692,513.23938
TABLE,-85.1,-47,85.1,-47,85.1,47,-85.1,47,337.4132385253906,-150.73289642333987,337.4132385253906,19.467103576660136,243.41323852539065,19.467103576660165,243.4132385253906,-150.7328964233398
SEATING,-29,-28.5,29,-28.5,29,28.5,-29,28.5,394.22735595703125,-136.98946380615234,394.22735595703125,-78.98946380615234,337.22735595703125,-78.98946380615234,337.22735595703125,-136.98946380615234
SEATING,-29,-28.5,29,-28.5,29,28.5,-29,28.5,394.38775634765625,-60.384010314941406,394.38775634765625,-2.3840103149414027,337.38775634765625,-2.38401031494141,337.38775634765625,-60.384010314941406
SEATING,-29,-28.5,29,-28.5,29,28.5,-29,28.5,237.8238983154297,-140.61927032470703,237.8238983154297,-82.61927032470703,180.8238983154297,-82.61927032470703,180.8238983154297,-140.61927032470703
SEATING,-29,-28.5,29,-28.5,29,28.5,-29,28.5,243.40737915039062,-65.00791931152344,243.40737915039062,-7.007919311523434,186.40737915039062,-7.007919311523441,186.40737915039062,-65.00791931152344
SEATING,-29,-28.5,29,-28.5,29,28.5,-29,28.5,260.5682678222656,-207.74290466308594,318.5682678222656,-207.74290466308594,318.5682678222656,-150.74290466308594,260.5682678222656,-150.74290466308594
SEATING,-29,-28.5,29,-28.5,29,28.5,-29,28.5,261.8106994628906,19.47710800170899,319.8106994628906,19.477108001708977,319.8106994628906,76.47710800170898,261.8106994628906,76.47710800170898
DECORATION,-75,-100,75,-100,75,100,-75,100,216.71612548828125,-165.7232894897461,366.71612548828125,-165.7232894897461,366.71612548828125,34.276710510253906,216.71612548828125,34.276710510253906
SEATING,-33.6,-33.65,33.6,-33.65,33.6,33.65,-33.6,33.65,41.95974769592286,-107.30499420166015,41.95974769592284,-40.10499420166015,-25.340252304077154,-40.10499420166016,-25.34025230407714,-107.30499420166016
DECORATION,-20.35,-4.95,20.35,-4.95,20.35,4.95,-20.35,4.95,414.0657760620117,-201.2380707025528,414.0657760620117,-160.5380707025528,404.16577606201173,-160.5380707025528,404.16577606201173,-201.2380707025528
DECORATION,-20.35,-4.95,20.35,-4.95,20.35,4.95,-20.35,4.95,414.06572265625,-61.238214111328126,414.06572265625,-20.538214111328124,404.16572265625,-20.538214111328124,404.16572265625,-61.238214111328126
