in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-463.5,-278.5,463.5,-278.5,463.5,278.5,-463.5,278.5,-463.5,-278.5,463.5,-278.5,463.5,278.5,-463.5,278.5
STORAGE_FURNITURE,-70,-20,70,-20,70,20,-70,20,184.85076904296875,-278.489990234375,324.85076904296875,-278.489990234375,324.85076904296875,-238.489990234375,184.85076904296875,-238.489990234375
STORAGE_FURNITURE,-42.5,-39.55,42.5,-39.55,42.5,39.55,-42.5,39.55,-349.6042175292969,283.3849609375,-434.6042175292969,283.3849609375,-434.6042175292969,204.28496093750002,-349.6042175292969,204.2849609375
STORAGE_FURNITURE,-75,-25.7,75,-25.7,75,25.7,-75,25.7,-241.31333923339844,-277.2512542724609,-91.31333923339844,-277.2512542724609,-91.31333923339844,-225.85125427246095,-241.31333923339844,-225.85125427246095
STORAGE_FURNITURE,-75,-25.7,75,-25.7,75,25.7,-75,25.7,-30.700024414062522,-215.34205627441406,-30.70002441406248,-65.34205627441408,-82.10002441406247,-65.34205627441405,-82.10002441406252,-215.34205627441406
STORAGE_FURNITURE,-60,-20,60,-20,60,20,-60,20,138.1226348876953,275.99000549316406,18.122634887695312,275.99000549316406,18.122634887695312,235.99000549316406,138.1226348876953,235.99000549316406
STORAGE_FURNITURE,-25,-17.9,25,-17.9,25,17.9,-25,17.9,-82.2150297502253,-257.1569198451282,-48.758673157576276,-219.99952214903664,-75.36336990797783,-196.04477082869994,-108.81972650062684,-233.2021685247915
TABLE,-85.1,-47,85.1,-47,85.1,47,-85.1,47,-203.24946594238284,-102.10633049011231,-203.24946594238278,68.09366950988768,-297.2494659423828,68.0936695098877,-297.2494659423828,-102.10633049011228
RADIATOR,-59.95,-3.95,59.95,-3.95,59.95,3.95,-59.95,3.95,-460.4711486816406,55.4830719947815,-460.47114868164067,-64.41692800521851,-452.57114868164064,-64.41692800521851,-452.5711486816406,55.4830719947815
RADIATOR,-59.95,-3.95,59.95,-3.95,59.95,3.95,-59.95,3.95,28.238659667968747,-274.05125732421874,148.13865966796874,-274.05125732421874,148.13865966796874,-266.15125732421876,28.238659667968747,-266.15125732421876
RADIATOR,-59.95,-3.95,59.95,-3.95,59.95,3.95,-59.95,3.95,-34.80398254394531,274.20619506835936,-154.7039825439453,274.20619506835936,-154.7039825439453,266.3061950683594,-34.80398254394531,266.3061950683594
STORAGE_FURNITURE,-50,-20,50,-20,50,20,-50,20,-384.9266052246094,-265.7899932861328,-284.9266052246094,-265.7899932861328,-284.9266052246094,-225.7899932861328,-384.9266052246094,-225.7899932861328
TABLE,-40,-40,40,-40,40,40,-40,40,213.44142150878906,-209.34323120117188,293.44142150878906,-209.34323120117188,293.44142150878906,-129.34323120117188,213.44142150878906,-129.34323120117188
SEATING,-30.8,-30,30.8,-30,30.8,30,-30.8,30,-452.5611572265625,30.79959052941996,-452.5611572265625,-30.800409470580043,-392.5611572265625,-30.800409470580064,-392.5611572265625,30.799590529419937
SEATING,-25,-26.15,25,-26.15,25,26.15,-25,26.15,-359.0594544258327,3.271657859910036,-359.05945426557355,-46.728342140089964,-306.75945426557354,-46.728341972458864,-306.7594544258327,3.271658027541136
SEATING,-25,-26.15,25,-26.15,25,26.15,-25,26.15,-141.43946228027346,-44.89152908325196,-141.43946228027343,5.10847091674804,-193.73946228027341,5.108470916748054,-193.73946228027344,-44.891529083251946
SEATING,-25,-26.15,25,-26.15,25,26.15,-25,26.15,-227.00875854492188,110.65366210937499,-277.0087585449219,110.653662109375,-277.0087585449219,58.35366210937501,-227.00875854492188,58.353662109374994
SEATING,-25,-26.15,25,-26.15,25,26.15,-25,26.15,-276.31817626953125,-145.8163284301758,-226.31817626953125,-145.8163284301758,-226.31817626953125,-93.51632843017578,-276.31817626953125,-93.51632843017578
SOFA,-87.5,-50.5,87.5,-50.5,87.5,50.5,-87.5,50.5,61.38460173872304,19.04100860892875,11.716495418828941,-148.76268388499614,108.56319794389415,-177.42827667533498,158.23130426378825,-9.624584181410128
SOFA,-87.5,-50.5,87.5,-50.5,87.5,50.5,-87.5,50.5,331.6507110595703,115.50119018554686,156.6507110595703,115.50119018554689,156.6507110595703,14.50119018554689,331.6507110595703,14.50119018554686
TABLE,-40,-40,40,-40,40,40,-40,40,268.44142150878906,-209.34323120117188,348.44142150878906,-209.34323120117188,348.44142150878906,-129.34323120117188,268.44142150878906,-129.34323120117188
TABLE,-40,-40,40,-40,40,40,-40,40,268.44142150878906,-154.34323120117188,348.44142150878906,-154.34323120117188,348.44142150878906,-74.34323120117188,268.44142150878906,-74.34323120117188
TABLE,-40,-40,40,-40,40,40,-40,40,213.44142150878906,-154.34323120117188,293.44142150878906,-154.34323120117188,293.44142150878906,-74.34323120117188,213.44142150878906,-74.34323120117188
