in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-184.97178,-605.32622,455.02822,-605.32622,455.02822,-205.32622,-184.97178,-205.32622,-184.97178,-605.32622,455.02822,-605.32622,455.02822,-205.32622,-184.97178,-205.32622
SOFA,-122,-47,122,-47,122,47,-122,47,128.03086900508453,-232.16726684044392,-115.96913099491549,-232.16726685096233,-115.96913099086332,-326.16726685096233,128.03086900913667,-326.1672668404439
SOFA,-122,-47,122,-47,122,47,-122,47,-115.52537918090822,-593.2966918945312,128.4746208190918,-593.2966918945312,128.4746208190918,-499.29669189453125,-115.52537918090819,-499.29669189453125
