in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,283.07093,773.68007,983.73098,773.68007,983.73098,1630.99,283.07093,1630.99,283.07093,773.68007,983.73098,773.68007,983.73098,1630.99,283.07093,1630.99
TABLE,-45,-27.5,45,-27.5,45,27.5,-45,27.5,800.4358764930739,1143.125743590877,786.2086792322611,1054.2573754383002,840.5171264366136,1045.562977112248,854.7443236974264,1134.4313452648248
STORAGE_FURNITURE,-74.9,-28.55,74.9,-28.55,74.9,28.55,-74.9,28.55,496.2871948242188,785.1900512695313,646.0871948242187,785.1900512695313,646.0871948242187,842.2900512695312,496.2871948242188,842.2900512695312
TABLE,-52.45,-52.45,52.45,-52.45,52.45,52.45,-52.45,52.45,720.4118774414062,1358.4478271484375,825.3118774414063,1358.4478271484375,825.3118774414063,1463.3478271484375,720.4118774414062,1463.3478271484375
STORAGE_FURNITURE,-90,-22,90,-22,90,22,-90,22,983.7210083007812,1206.17236328125,983.7210083007812,1386.17236328125,939.7210083007812,1386.17236328125,939.7210083007812,1206.17236328125
STORAGE_FURNITURE,-55,-22.5,55,-22.5,55,22.5,-55,22.5,469.15875244140625,1139.0430908203125,469.15875244140625,1029.0430908203125,514.1587524414062,1029.0430908203125,514.1587524414062,1139.0430908203125
SOFA,-122,-47,122,-47,122,47,-122,47,636.5296020507812,1233.226318359375,636.5296020507812,989.226318359375,730.5296020507812,989.226318359375,730.5296020507812,1233.226318359375
SEATING,-34,-33.5,34,-33.5,34,33.5,-34,33.5,865.010493545757,1251.3902647759787,798.2652354155579,1264.3929766905408,785.4537398526805,1198.6292664740213,852.1989979828796,1185.6265545594592
STORAGE_FURNITURE,-48.5,-17.75,48.5,-17.75,48.5,17.75,-48.5,17.75,283.0809326171875,934.0958862304688,283.0809326171875,837.0958862304688,318.5809326171875,837.0958862304688,318.5809326171875,934.0958862304688
STORAGE_FURNITURE,-44.95,-18.25,44.95,-18.25,44.95,18.25,-44.95,18.25,562.4683715820313,1405.8572998046875,472.56837158203126,1405.8572998046875,472.56837158203126,1369.3572998046875,562.4683715820313,1369.3572998046875
