in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-183.74871,-108.53624,361.57013,-108.53624,361.57013,250.78211,-183.74871,250.78211,-183.74871,-108.53624,361.57013,-108.53624,361.57013,250.78211,-183.74871,250.78211
SOFA,-95,-49.5,95,-49.5,95,49.5,-95,49.5,360.44467406768285,-101.28355449787284,360.1893307686212,88.716273922575,261.1894201705984,88.58322662464286,261.4447634696601,-101.41660179580498
TABLE,-45,-27.5,45,-27.5,45,27.5,-45,27.5,178.7178745619312,42.77791471121978,160.37753857570146,-45.33356056817959,214.2234401353344,-56.54154367087554,232.56377612156416,31.56993160852383
TABLE,-55,-55,55,-55,55,55,-55,55,-1.8687916501269513,-47.57687594281026,41.4765074430544,53.52300064723633,-59.62336914699219,96.86829974041768,-102.96866824017354,-4.231576849628908
