in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-783.75782,-389.59951,-78.57618,-389.59951,-78.57618,109.68078,-783.75782,109.68078,-783.75782,-389.59951,-78.57618,-389.59951,-78.57618,109.68078,-783.75782,109.68078
VEGETATION,-11,-14.9,11,-14.9,11,14.9,-11,14.9,-118.67816162109375,77.37240753173828,-96.67816162109375,77.37240753173828,-96.67816162109375,107.17240753173829,-118.67816162109375,107.17240753173829
DECORATION,-50,-0.25,50,-0.25,50,0.25,-50,0.25,-79.17662873519933,-153.75468686910548,-79.21677340469991,-53.754694927078255,-79.71677336441005,-53.75489565042576,-79.67662869490947,-153.754887592453
