in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,-371.51485,41.20802,15.48515,41.20802,15.48515,391.21808,-371.51485,391.21808,-371.51485,41.20802,15.48515,41.20802,15.48515,391.21808,-371.51485,391.21808
SEATING,-27.65,-29.35,27.65,-29.35,27.65,29.35,-27.65,29.35,-245.02245483398437,390.70415649414065,-300.32245483398435,390.70415649414065,-300.32245483398435,332.0041564941406,-245.02245483398437,332.0041564941406
SOFA,-90.1,-35.05,90.1,-35.05,90.1,35.05,-90.1,35.05,-44.15857683951424,390.70815822967126,-224.3585768120682,390.7050131463706,-224.357353336267,320.6050131570475,-44.15735336371304,320.60815824034813
SEATING,-27.65,-29.35,27.65,-29.35,27.65,29.35,-27.65,29.35,-343.27891428033547,375.4014016444216,-382.74796116367344,336.6678975669324,-341.6330119891958,294.7721823399534,-302.1639651058578,333.5056864174426
TABLE,-50,-30,50,-30,50,30,-50,30,-184.1306610107422,173.06118774414062,-84.13066101074219,173.06118774414062,-84.13066101074219,233.06118774414062,-184.1306610107422,233.06118774414062
STORAGE_FURNITURE,-90,-22.5,90,-22.5,90,22.5,-90,22.5,-225.35923767089844,41.21802520751953,-45.35923767089844,41.21802520751953,-45.35923767089844,86.21802520751953,-225.35923767089844,86.21802520751953
STORAGE_FURNITURE,-21.05,-19.9,21.05,-19.9,21.05,19.9,-21.05,19.9,-276.41924743652345,41.21802291870117,-234.31924743652343,41.21802291870117,-234.31924743652343,81.01802291870118,-276.41924743652345,81.01802291870118
STORAGE_FURNITURE,-21.05,-19.9,21.05,-19.9,21.05,19.9,-21.05,19.9,-35.573772239685056,41.212545013427736,6.526227760314942,41.212545013427736,6.526227760314942,81.01254501342774,-35.573772239685056,81.01254501342774
